Body Size,Body Weight,Height,Bone Structure,Complexion,General feel of skin,Texture of Skin,Hair Color,Appearance of Hair,Shape of face,Eyes,Eyelashes,Blinking of Eyes,Cheeks,Nose,Teeth and gums,Lips,Nails,Appetite,Liking tastes,Dosha
Medium,Moderate - no difficulties in gaining or losing weight,Average,"Large, broad shoulders , heavy bone structure","White, pale, tans easily","Dry and thin, cool to touch, rough","Dry, pigments and aging","Black/Brown,dull","Straight, oily","Long, angular, thin","Medium-sized, penetrating, light-sensitive eyes",Moderate eyelashes,Moderate Blinking,"Wrinkled, Sunken","Rounded, Large open nostrils","Big, White, Strong teeth, Healthy gums","Tight, thin, dry lips which chaps easily","Thick, Oily, Smooth, Polished",Slow but steady,Sweet / Sour / Salty,vata+pitta
Medium,Moderate - no difficulties in gaining or losing weight,Short,Medium bone structure,Fair-skin sunburns easily,"Dry and thin, cool to touch, rough",Oily,"Red, light brown, yellow","Dry, black, knotted, brittle","Long, angular, thin","Medium-sized, penetrating, light-sensitive eyes",Moderate eyelashes,Moderate Blinking,"Smooth, Flat","Rounded, Large open nostrils","Medium-sized teeth, Reddish gums","Tight, thin, dry lips which chaps easily","Dry, Rough, Brittle, Break",Slow but steady,Sweet / Sour / Salty,vata+pitta
Slim,Moderate - no difficulties in gaining or losing weight,Average,Medium bone structure,Fair-skin sunburns easily,"Smooth and warm, oily T-zone",Oily,"Black/Brown,dull","Dry, black, knotted, brittle","Long, angular, thin","Small, active, darting, dark eyes",Moderate eyelashes,Moderate Blinking,"Smooth, Flat","Rounded, Large open nostrils","Medium-sized teeth, Reddish gums","Lips are soft, medium-sized","Sharp, Flexible, Pink, Lustrous",Slow but steady,Sweet / Sour / Salty,Pitta
Slim,Moderate - no difficulties in gaining or losing weight,Short,"Light, Small bones, prominent joints",Fair-skin sunburns easily,"Dry and thin, cool to touch, rough",Oily,"Black/Brown,dull","Straight, oily","Large, round, full","Medium-sized, penetrating, light-sensitive eyes",Scanty eyelashes,Moderate Blinking,"Smooth, Flat","Crooked, Narrow","Medium-sized teeth, Reddish gums","Lips are soft, medium-sized","Dry, Rough, Brittle, Break",Slow but steady,Sweet / Sour / Salty,vata+pitta
Large,Moderate - no difficulties in gaining or losing weight,Short,Medium bone structure,"Dark-Complexion, tans easily","Smooth and warm, oily T-zone",Oily,"Black/Brown,dull","Dry, black, knotted, brittle","Long, angular, thin","Small, active, darting, dark eyes",Scanty eyelashes,Moderate Blinking,"Wrinkled, Sunken","Pointed, Average","Medium-sized teeth, Reddish gums","Lips are soft, medium-sized","Sharp, Flexible, Pink, Lustrous","Strong, Unbearable",Sweet / Bitter / Astringent,vata+pitta
Slim,Low - difficulties in gaining weight,Tall,Medium bone structure,"White, pale, tans easily","Dry and thin, cool to touch, rough","Freckles, many moles, redness and rashes","Black/Brown,dull","Thick, curly","Heart-shaped, pointed chin","Medium-sized, penetrating, light-sensitive eyes",Moderate eyelashes,Moderate Blinking,"Smooth, Flat","Pointed, Average","Medium-sized teeth, Reddish gums","Tight, thin, dry lips which chaps easily","Thick, Oily, Smooth, Polished",Slow but steady,Sweet / Bitter / Astringent,vata+pitta
Large,Moderate - no difficulties in gaining or losing weight,Short,"Large, broad shoulders , heavy bone structure",Fair-skin sunburns easily,"Smooth and warm, oily T-zone","Freckles, many moles, redness and rashes","Black/Brown,dull","Straight, oily","Heart-shaped, pointed chin","Small, active, darting, dark eyes",Moderate eyelashes,Moderate Blinking,"Rounded, Plump","Rounded, Large open nostrils","Medium-sized teeth, Reddish gums","Tight, thin, dry lips which chaps easily","Sharp, Flexible, Pink, Lustrous",Slow but steady,Sweet / Sour / Salty,Pitta
Slim,Low - difficulties in gaining weight,Average,"Light, Small bones, prominent joints","White, pale, tans easily","Smooth and warm, oily T-zone",Oily,Brown,"Thick, curly","Long, angular, thin","Small, active, darting, dark eyes",Moderate eyelashes,Moderate Blinking,"Smooth, Flat","Pointed, Average","Big, White, Strong teeth, Healthy gums","Lips are soft, medium-sized","Thick, Oily, Smooth, Polished","Strong, Unbearable",Sweet / Sour / Salty,vata+pitta
Medium,Moderate - no difficulties in gaining or losing weight,Short,Medium bone structure,Fair-skin sunburns easily,"Smooth and warm, oily T-zone",Oily,"Black/Brown,dull","Straight, oily","Large, round, full","Small, active, darting, dark eyes",Moderate eyelashes,Moderate Blinking,"Rounded, Plump","Pointed, Average","Big, White, Strong teeth, Healthy gums","Lips are soft, medium-sized","Dry, Rough, Brittle, Break",Slow but steady,Sweet / Sour / Salty,Pitta
Medium,Moderate - no difficulties in gaining or losing weight,Short,Medium bone structure,Fair-skin sunburns easily,"Smooth and warm, oily T-zone",Oily,"Black/Brown,dull","Straight, oily","Long, angular, thin","Small, active, darting, dark eyes",Moderate eyelashes,Moderate Blinking,"Smooth, Flat","Crooked, Narrow","Irregular, Protruding teeth, Receding gums","Tight, thin, dry lips which chaps easily","Dry, Rough, Brittle, Break","Strong, Unbearable",Sweet / Bitter / Astringent,vata+pitta
