Sentence,Target
Hi,5
How are you?,5
"Hey there, how have you been?",5
Is anyone there?,5
Hello,5
Good day,5
Hiii,5
Hii,5
Bye,4
See you there,4
Goodbye,4
Thanks,10
Thank you,10
That's helpful,10
Nice,10
Good,10
about you,0
Who are you?,0
What are you?,0
Who you are?,0
what you can do,0
What is the Purpose of the project,0
what is your name,7
what should I call you,7
whats your name?,7
Could you help me?,6
give me a hand please,6
Can you help?,6
What can you do for me?,6
I need a support,6
I need a help,6
support me please,6
Complete the work,8
My name,8
user name,8
you are not Good,8
Nothing,8
You are Bad,8
Noting to worry,8
Chatgpt is Best,8
Irrelevant,8
Can you help me find my prakriti,9
what is my prakriti?,9
figure out my prakriti,9
identify my prakriti,9
Determine my Prakriti,9
Determine,9
Who are the creators,3
who made these project,3
Project Creators,3
project is made by,3
Project,3
Which project,3
who created you,3
fuck you,2
Shut Up,2
i hate you,2
hate,2
You're so annoying,2
I can't stand you,2
Go away,2
You're worthless,2
You make me sick,2
I despise you,2
ok,1
yeah,1
This should be best,1
Now I Understand,1
